id,collection,title,artist,rarity,mosaic,year,technique,movement,country,museum,aboutLen,missing
"col-1-flora","col-1","Flora","Tiziano","common","yes","1517","óleo, lienzo","escuela veneciana","fallback","Galería Uffizi","1210",""
"col-1-baco-y-ariadna","col-1","Baco y Ariadna","Tiziano","common","yes","1520","óleo, lienzo","escuela veneciana","Reino Unido","National Gallery de Londres","894",""
"col-1-san-francisco-en-extasis","col-1","San Francisco en éxtasis","Giovanni Bellini","common","yes","1480","óleo, tabla","Primer Renacimiento","fallback","Colección Frick","343",""
"col-1-el-dux-leonardo-loredan","col-1","El dux Leonardo Loredan","Giovanni Bellini","common","yes","1500","óleo, tabla","Alto Renacimiento","Reino Unido","National Gallery de Londres","384",""
"col-1-la-virgen-de-los-prados","col-1","La Virgen de los prados","Giovanni Bellini","common","yes","1500","óleo, tabla, transferido a lienzo","Alto Renacimiento","Reino Unido","National Gallery de Londres","550",""
"col-1-camara-de-los-esposos","col-1","Cámara de los esposos","Andrea Mantegna","common","yes","1500","fresco","","Italia","Castillo de San Jorge (Mantua)","896",""
"col-1-san-sebastian","col-1","San Sebastián","Andrea Mantegna","common","yes","1460","","","fallback","","415",""
"col-1-la-anunciacion","col-1","La Anunciación","Fra Angelico","common","yes","1425","témpera, tabla","Renacimiento italiano","Italia","Museo del Prado","820",""
"col-1-la-coronacion-de-la-virgen","col-1","La Coronación de la Virgen","Fra Angelico","common","yes","1434","témpera, panel de álamo","Primer Renacimiento","fallback","Galería Uffizi","436",""
"col-1-la-resurreccion","col-1","La Resurrección","Piero della Francesca","common","yes","1463","distemper, fresco","Primer Renacimiento","Italia","Museo Civico di Sansepolcro","1010",""
"col-1-la-flagelacion-de-cristo","col-1","La Flagelación de Cristo","Piero della Francesca","common","yes","1459","témpera, panel de álamo","Primer Renacimiento","Italia","Galería Nacional de las Marcas","1033",""
"col-1-retrato-de-federico-da-montefeltro-p1","col-1","Retrato de Federico da Montefeltro","Piero della Francesca","common","yes","1465","témpera, tabla, óleo","Primer Renacimiento","fallback","Galería Uffizi","893",""
"col-1-retrato-de-federico-da-montefeltro-p2","col-1","Retrato de Federico da Montefeltro","Piero della Francesca","common","yes","1465","témpera, tabla, óleo","Primer Renacimiento","fallback","Galería Uffizi","893",""
"col-1-adan-y-eva-p1","col-1","Adán y Eva","Alberto Durero","common","yes","1507","óleo, panel","Renacimiento alemán","España","Museo del Prado","413",""
"col-1-adan-y-eva-p2","col-1","Adán y Eva","Alberto Durero","common","yes","1507","óleo, panel","Renacimiento alemán","España","Museo del Prado","413",""
"col-1-la-liebre-joven","col-1","La liebre joven","Alberto Durero","common","yes","1502","top color, papel, acuarela","Renacimiento alemán","fallback","Albertina","811",""
"col-1-juegos-de-ninos","col-1","Juegos de niños","Pieter Bruegel el Viejo","common","yes","1560","óleo, tabla","","fallback","Museo de Historia del Arte de Viena","709",""
"col-1-la-cosecha","col-1","La cosecha","Pieter Bruegel el Viejo","common","yes","1565","óleo, tabla","","fallback","Lobkowicz Palace","870",""
"col-1-retrato-de-erasmo-de-roterdam","col-1","Retrato de Erasmo de Róterdam","Hans Holbein el Joven","common","yes","1651","óleo, lienzo","","fallback","Museo Soumaya","0",""
"col-1-el-carro-de-heno-p1","col-1","El carro de heno","El Bosco","common","yes","1510","óleo, tabla","Primitivo flamenco","España","Museo del Prado","367",""
"col-1-el-carro-de-heno-p2","col-1","El carro de heno","El Bosco","common","yes","1510","óleo, tabla","Primitivo flamenco","España","Museo del Prado","367",""
"col-1-el-carro-de-heno-p3","col-1","El carro de heno","El Bosco","common","yes","1510","óleo, tabla","Primitivo flamenco","España","Museo del Prado","367",""
"col-1-el-tributo-de-la-moneda","col-1","El tributo de la moneda","Masaccio","common","yes","1424","fresco","Renacimiento italiano","fallback","Capilla Brancacci","558",""
"col-1-virgen-del-canciller-rolin","col-1","Virgen del canciller Rolin","Jan van Eyck","common","yes","1500","óleo, tabla","Primitivo flamenco","fallback","Museo del Louvre","445",""
"col-2-la-noche-estrellada","col-2","La noche estrellada","Vincent van Gogh","unique","yes","1889","óleo, lienzo","posimpresionismo","fallback","Museo de Arte Moderno","643",""
"col-2-impresion-sol-naciente","col-2","Impresión; sol naciente","Claude Monet","legendary","yes","1872","óleo, lienzo","impresionismo","fallback","Museo Marmottan Monet","734",""
"col-2-un-domingo-por-la-tarde-en-la-isla-de-la","col-2","Un domingo por la tarde en la isla de la Grande Jatte","Georges Seurat","legendary","yes","1884","óleo, lienzo","puntillismo","fallback","Instituto de Arte de Chicago","616",""
"col-2-la-danza-en-el-moulin-de-la-galette","col-2","La danza en el Moulin de la Galette","Pierre-Auguste Renoir","epic","yes","1876","óleo, lienzo","","Francia","Museo del Louvre","687",""
"col-2-nenufares","col-2","Nenúfares","Claude Monet","epic","yes","1914","","impresionismo","fallback","Francia","600",""
"col-2-el-dormitorio-en-arles","col-2","El dormitorio en Arlés","Vincent van Gogh","epic","yes","1888","óleo, lienzo","","fallback","","596",""
"col-2-los-jugadores-de-cartas","col-2","Los jugadores de cartas","Paul Cézanne","epic","yes","1893","","","Francia","Instituto de Arte Courtauld","606",""
"col-2-de-donde-venimos-quienes-somos-adonde-va-p1","col-2","¿De dónde venimos? ¿Quiénes somos? ¿Adónde vamos?","Paul Gauguin","epic","yes","1897","óleo, lienzo","posimpresionismo","fallback","Museo de Bellas Artes de Boston","711",""
"col-2-de-donde-venimos-quienes-somos-adonde-va-p2","col-2","¿De dónde venimos? ¿Quiénes somos? ¿Adónde vamos?","Paul Gauguin","epic","yes","1897","óleo, lienzo","posimpresionismo","fallback","Museo de Bellas Artes de Boston","711",""
"col-2-de-donde-venimos-quienes-somos-adonde-va-p3","col-2","¿De dónde venimos? ¿Quiénes somos? ¿Adónde vamos?","Paul Gauguin","epic","yes","1897","óleo, lienzo","posimpresionismo","fallback","Museo de Bellas Artes de Boston","711",""
"col-2-los-girasoles","col-2","Los girasoles","Vincent van Gogh","rare","yes","1888","óleo, lienzo","posimpresionismo","fallback","Museo de Arte de Filadelfia","517",""
"col-2-terraza-de-cafe-por-la-noche","col-2","Terraza de café por la noche","Vincent van Gogh","rare","yes","1888","óleo, lienzo","posimpresionismo","Francia","Museo Kröller-Müller","839",""
"col-2-mujer-con-sombrilla","col-2","Mujer con sombrilla","Claude Monet","rare","yes","1886","óleo, lienzo","impresionismo","Estados Unidos","Galería Nacional de Arte","625",""
"col-2-la-estacion-saint-lazare","col-2","La estación Saint-Lazare","Claude Monet","rare","yes","1877","óleo, lienzo","","fallback","Museo Marmottan Monet","514",""
"col-2-clase-de-danza","col-2","Clase de danza","Edgar Degas","rare","yes","1870","óleo, madera","","fallback","Museo Metropolitano de Arte","332",""
"col-2-las-planchadoras","col-2","Las planchadoras","Edgar Degas","rare","yes","1884","óleo, lienzo","","fallback","Museo de Orsay","473",""
"col-2-el-puente-de-europa","col-2","El puente de Europa","Gustave Caillebotte","rare","yes","1876","óleo, lienzo","","fallback","Musée du Petit Palais","438",""
"col-2-el-boulevard-montmartre-de-noche","col-2","El boulevard Montmartre de noche","Camille Pissarro","rare","yes","","","","fallback","","0",""
"col-2-el-puente-de-moret","col-2","El puente de Moret","Alfred Sisley","rare","yes","1874","óleo, lienzo","impresionismo","fallback","Museo de Orsay","377",""
"col-2-el-verano","col-2","El verano","Berthe Morisot","rare","yes","1891","óleo, lienzo","","fallback","Museo Nacional Thyssen-Bornemisza","639",""
"col-2-el-palco","col-2","El palco","Mary Cassatt","common","yes","1878","óleo, lienzo","","fallback","Museo de Bellas Artes de Boston","634",""
"col-2-el-circo","col-2","El circo","Georges Seurat","rare","yes","1891","óleo, lienzo","neoimpresionismo","fallback","Museo de Orsay","313",""
"col-2-trigal-con-cuervos","col-2","Trigal con cuervos","Vincent van Gogh","common","yes","1890","óleo, lienzo","impresionismo","Países Bajos","Museo van Gogh","796",""
"col-2-noche-estrellada-sobre-el-rodano","col-2","Noche estrellada sobre el Ródano","Vincent van Gogh","common","yes","1888","óleo, lienzo","posimpresionismo","Francia","Museo de Orsay","719",""
"col-2-el-puente-japones","col-2","El puente japonés","Claude Monet","common","yes","1914","","impresionismo","fallback","Francia","600",""
"col-2-jardin-del-artista-en-giverny","col-2","Jardín del artista en Giverny","Claude Monet","common","yes","1900","óleo, lienzo","impresionismo","Francia","Museo de Orsay","335",""
"col-2-acantilados-en-etretat","col-2","Acantilados en Étretat","Claude Monet","common","yes","1914","","impresionismo","fallback","Francia","359",""
"col-2-almuerzo-de-los-remeros","col-2","Almuerzo de los remeros","Pierre-Auguste Renoir","common","yes","1880","óleo, lienzo","impresionismo","fallback","Colección Phillips","1246",""
"col-2-dos-hermanas","col-2","Dos hermanas","Pierre-Auguste Renoir","common","yes","1881","óleo, lienzo","","fallback","Instituto de Arte de Chicago","430",""
"col-2-la-grenouillere","col-2","La Grenouillère","Pierre-Auguste Renoir","common","yes","1874","óleo, lienzo","","fallback","Courtauld Gallery","575",""
"col-2-bailarina-ajustando-su-zapatilla","col-2","Bailarina ajustando su zapatilla","Edgar Degas","common","yes","1871","óleo, lienzo","impresionismo","fallback","Museo de Orsay","554",""
"col-2-ensayo-de-ballet","col-2","Ensayo de ballet","Edgar Degas","common","yes","1874","óleo, lienzo","","fallback","Museo de Orsay","408",""
"col-2-bailarina-verde","col-2","Bailarina verde","Edgar Degas","common","yes","1884","óleo, lienzo","","fallback","Museo de Orsay","473",""
"col-2-naturaleza-muerta-con-manzanas","col-2","Naturaleza muerta con manzanas","Paul Cézanne","common","yes","1890","óleo, lienzo","","fallback","Museo del Hermitage","896",""
"col-2-la-montana-sainte-victoire","col-2","La montaña Sainte-Victoire","Paul Cézanne","common","yes","1902","","posimpresionismo","fallback","Museo de Arte de la Universidad de Princeton","264",""
"col-2-los-banistas","col-2","Los bañistas","Paul Cézanne","common","yes","1906","óleo, lienzo","protocubismo","Estados Unidos","Museo de Arte de Filadelfia","568",""
"col-2-el-golfo-de-marsella-visto-desde-lestaqu","col-2","El golfo de Marsella visto desde L’Estaque","Paul Cézanne","common","yes","","","","fallback","","0",""
"col-2-tahitianas-en-la-playa","col-2","Tahitianas en la playa","Paul Gauguin","common","yes","1892","óleo, lienzo","","fallback","Museo Pushkin","729",""
"col-2-vision-despues-del-sermon","col-2","Visión después del sermón","Paul Gauguin","common","yes","1888","óleo, lienzo","Escuela de Pont-Aven","fallback","Galerías nacionales de Escocia","1054",""
"col-2-mujeres-de-tahiti-p1","col-2","Mujeres de Tahití","Paul Gauguin","common","yes","1890","óleo, lienzo","posimpresionismo","Francia","Museo de Orsay","539",""
"col-2-mujeres-de-tahiti-p2","col-2","Mujeres de Tahití","Paul Gauguin","common","yes","1890","óleo, lienzo","posimpresionismo","Francia","Museo de Orsay","539",""
"col-2-inundacion-en-port-marly","col-2","Inundación en Port-Marly","Alfred Sisley","common","yes","1876","óleo, lienzo","impresionismo","Francia","Museo de Orsay","0",""
"col-2-nieve-en-louveciennes","col-2","Nieve en Louveciennes","Alfred Sisley","common","yes","1874","óleo, lienzo","","Francia","Museo de Bellas Artes de Ruan","344",""
"col-2-sendero-en-hampton-court","col-2","Sendero en Hampton Court","Alfred Sisley","common","yes","1874","óleo, lienzo","impresionismo","fallback","Building of the Winterthur Museum of Art","190",""
"col-2-boulevard-montmartre-manana","col-2","Boulevard Montmartre; mañana","Camille Pissarro","common","yes","1897","óleo, lienzo","","fallback","Max Silberberg","519",""
"col-2-el-huerto-en-pontoise","col-2","El huerto en Pontoise","Camille Pissarro","common","yes","1877","óleo, lienzo","","fallback","National Gallery de Londres","517",""
"col-2-tejados-rojos","col-2","Tejados rojos","Camille Pissarro","common","yes","1877","óleo, lienzo","","fallback","Museo de Orsay","608",""
"col-2-el-cuna","col-2","El cuna","Berthe Morisot","common","yes","1872","lienzo, óleo","impresionismo","Francia","Museo de Orsay","1121",""
"col-2-dia-de-verano","col-2","Día de verano","Berthe Morisot","common","yes","1879","óleo, lienzo","impresionismo","fallback","National Gallery de Londres","272",""
"col-2-joven-con-abanico","col-2","Joven con abanico","Berthe Morisot","common","yes","1877","óleo, lienzo","","fallback","Instituto de Arte de Chicago","604",""
"col-2-calle-de-paris-dia-lluvioso","col-2","Calle de París; día lluvioso","Gustave Caillebotte","common","yes","1877","óleo, lienzo","impresionismo","fallback","Instituto de Arte de Chicago","878",""
"col-2-remeros","col-2","Remeros","Gustave Caillebotte","common","yes","1878","óleo, lienzo","","fallback","Museo de Orsay","334",""
"col-2-el-bano-del-nino","col-2","El baño del niño","Mary Cassatt","common","yes","1893","óleo, lienzo","impresionismo","fallback","Instituto de Arte de Chicago","458",""
"col-3-la-libertad-guiando-al-pueblo","col-3","La libertad guiando al pueblo","Eugène Delacroix","unique","yes","1830","óleo, lienzo","Romanticismo","Francia","musée du Luxembourg","897",""
"col-3-las-meninas","col-3","Las Meninas","Diego Velázquez","legendary","yes","1656","óleo, lienzo","barroco","España","Museo del Prado","894",""
"col-3-la-ronda-de-noche","col-3","La ronda de noche","Rembrandt","legendary","yes","1642","lienzo, óleo","pintura del Siglo de oro neerlandés","Países Bajos","Rijksmuseum","846",""
"col-3-el-3-de-mayo-de-1808","col-3","El 3 de mayo de 1808","Francisco de Goya","epic","yes","1814","óleo, lienzo","Romanticismo","España","Museo del Prado","895",""
"col-3-la-balsa-de-la-medusa","col-3","La balsa de la Medusa","Théodore Géricault","epic","yes","1819","óleo, lienzo","Romanticismo","Francia","Museo del Louvre","896",""
"col-3-napoleon-cruzando-los-alpes","col-3","Napoleón cruzando los Alpes","Jacques-Louis David","epic","yes","1801","óleo, lienzo","neoclasicismo","Francia","Castillo de Malmaison","1405",""
"col-3-la-vocacion-de-san-mateo","col-3","La vocación de San Mateo","Caravaggio","epic","yes","1609","óleo, lienzo","","fallback","Capilla Contarelli","327",""
"col-3-judith-decapitando-a-holofernes","col-3","Judith decapitando a Holofernes","Artemisia Gentileschi","epic","yes","1620","óleo, lienzo","","fallback","Galería Uffizi","679",""
"col-3-la-rendicion-de-breda","col-3","La rendición de Breda","Diego Velázquez","rare","yes","1635","óleo, lienzo","barroco","España","Museo del Prado","354",""
"col-3-carlos-v-en-muhlberg","col-3","Carlos V en Mühlberg","Tiziano","rare","yes","1548","óleo, lienzo","escuela veneciana","fallback","Museo del Prado","508",""
"col-3-la-muerte-de-marat","col-3","La muerte de Marat","Jacques-Louis David","rare","yes","1793","óleo, lienzo","pintura neoclásica","Bélgica","Museos Reales de Bellas Artes de Bélgica","897",""
"col-3-la-coronacion-de-napoleon","col-3","La coronación de Napoleón","Jacques-Louis David","rare","yes","1807","óleo, lienzo","","fallback","Museo del Louvre","562",""
"col-3-saturno-devorando-a-su-hijo","col-3","Saturno devorando a su hijo","Francisco de Goya","rare","yes","1819","técnica mixta, pared, lienzo","Romanticismo","fallback","Museo del Prado","735",""
"col-3-el-entierro-del-conde-de-orgaz","col-3","El entierro del Conde de Orgaz","El Greco","rare","yes","1586","óleo, lienzo","Siglo de Oro","fallback","iglesia de Santo Tomé","717",""
"col-3-sanson-y-dalila","col-3","Sansón y Dalila","Peter Paul Rubens","rare","yes","1609","óleo, tabla","","fallback","National Gallery de Londres","768",""
"col-3-la-elevacion-de-la-cruz-p1","col-3","La elevación de la cruz","Peter Paul Rubens","rare","yes","1609","óleo, madera de roble, tabla","barroco","Bélgica","Catedral de Amberes","895",""
"col-3-la-elevacion-de-la-cruz-p2","col-3","La elevación de la cruz","Peter Paul Rubens","rare","yes","1609","óleo, madera de roble, tabla","barroco","Bélgica","Catedral de Amberes","895",""
"col-3-la-elevacion-de-la-cruz-p3","col-3","La elevación de la cruz","Peter Paul Rubens","rare","yes","1609","óleo, madera de roble, tabla","barroco","Bélgica","Catedral de Amberes","895",""
"col-3-la-incredulidad-de-santo-tomas","col-3","La incredulidad de Santo Tomás","Caravaggio","rare","yes","1601","óleo, lienzo","Pintura barroca de Italia","Alemania","Palacio de Sanssouci","603",""
"col-3-el-rapto-de-las-hijas-de-leucipo","col-3","El rapto de las hijas de Leucipo","Peter Paul Rubens","rare","yes","1618","óleo, lienzo","barroco","Alemania","Colecciones de Pinturas del Estado de Baviera","484",""
"col-3-la-muerte-de-germanico","col-3","La muerte de Germánico","Nicolas Poussin","rare","yes","1627","óleo, lienzo","","fallback","Instituto de Arte de Mineápolis","142",""
"col-3-el-juramento-de-los-horacios","col-3","El juramento de los Horacios","Jacques-Louis David","rare","yes","1784","óleo, lienzo","neoclasicismo","fallback","Museo del Louvre","394",""
"col-3-la-maja-desnuda","col-3","La maja desnuda","Francisco de Goya","common","yes","1800","óleo, lienzo","Romanticismo","fallback","Museo del Prado","742",""
"col-3-la-maja-vestida","col-3","La maja vestida","Francisco de Goya","common","yes","1800","lienzo, óleo","","fallback","Museo del Prado","325",""
"col-3-el-aquelarre","col-3","El aquelarre","Francisco de Goya","common","yes","1798","óleo, lienzo","","España","Museo Lázaro Galdiano","458",""
"col-3-las-hilanderas","col-3","Las hilanderas","Diego Velázquez","common","yes","1655","lienzo, óleo, lienzo","","fallback","Museo del Prado","518",""
"col-3-el-triunfo-de-baco","col-3","El triunfo de Baco","Diego Velázquez","common","yes","1628","óleo, lienzo","","España","Museo del Prado","589",""
"col-3-retrato-del-papa-inocencio-x","col-3","Retrato del papa Inocencio X","Diego Velázquez","common","yes","1700","óleo, lienzo","pintura barroca de España","Italia","Galería Doria-Pamphili","618",""
"col-3-la-leccion-de-anatomia-del-dr-tulp","col-3","La lección de anatomía del Dr. Tulp","Rembrandt","common","yes","1632","óleo, lienzo","pintura del Siglo de oro neerlandés","Países Bajos","","558",""
"col-3-el-regreso-del-hijo-prodigo","col-3","El regreso del hijo pródigo","Rembrandt","common","yes","1668","lienzo, óleo","","Rusia","Museo del Hermitage","895",""
"col-3-la-conspiracion-de-claudio-civilis","col-3","La conspiración de Claudio Civilis","Rembrandt","common","yes","1661","óleo, lienzo","pintura del Siglo de oro neerlandés","Suecia","Museo Nacional de Estocolmo","662",""
"col-3-autorretrato-1659","col-3","Autorretrato (1659)","Rembrandt","common","yes","1652","óleo, lienzo","pintura del Siglo de oro neerlandés","Austria","Museo de Historia del Arte de Viena","450",""
"col-3-el-juicio-de-paris-p1","col-3","El juicio de Paris","Peter Paul Rubens","common","yes","1636","","","fallback","National Gallery de Londres","644",""
"col-3-el-juicio-de-paris-p2","col-3","El juicio de Paris","Peter Paul Rubens","common","yes","1636","","","fallback","National Gallery de Londres","644",""
"col-3-la-adoracion-de-los-magos","col-3","La adoración de los Magos","Peter Paul Rubens","common","yes","1609","óleo, lienzo","","fallback","Museo del Prado","358",""
"col-3-baco","col-3","Baco","Caravaggio","common","yes","1593","óleo, lienzo","Pintura barroca de Italia","Italia","Galería Uffizi","359",""
"col-3-la-cena-de-emaus","col-3","La cena de Emaús","Caravaggio","common","yes","1601","óleo, lienzo","barroco","fallback","National Gallery de Londres","369",""
"col-3-vista-de-toledo","col-4","Vista de Toledo","El Greco","common","yes","1596","óleo, lienzo","manierismo","España","Museo Metropolitano de Arte","503",""
"col-3-el-caballero-de-la-mano-en-el-pecho","col-3","El caballero de la mano en el pecho","El Greco","common","yes","1580","óleo, lienzo","manierismo","fallback","Museo del Prado","328",""
"col-3-las-sabinas","col-3","Las sabinas","Jacques-Louis David","common","yes","1799","óleo, lienzo","neoclasicismo","fallback","Museo del Louvre","483",""
"col-3-belisario-pide-limosna","col-3","Belisario pide limosna","Jacques-Louis David","common","yes","1781","óleo, lienzo","neoclasicismo","fallback","Palais des Beaux-Arts de Lille","0",""
"col-3-la-muerte-de-sardanapalo","col-3","La muerte de Sardanápalo","Eugène Delacroix","common","yes","1827","óleo, lienzo","Romanticismo","fallback","Museo del Louvre","388",""
"col-3-mujeres-de-argel","col-3","Mujeres de Argel","Eugène Delacroix","common","yes","1834","óleo, lienzo","Romanticismo","fallback","Museo del Louvre","949",""
"col-3-el-martirio-de-san-felipe","col-3","El martirio de San Felipe","José de Ribera","common","yes","1639","óleo, lienzo","","España","Museo del Prado","531",""
"col-3-el-recien-nacido","col-3","El recién nacido","Georges de La Tour","common","yes","1645","óleo, lienzo","","Francia","Museo de Bellas Artes de Rennes","912",""
"col-3-la-encajera","col-4","La encajera","Johannes Vermeer","common","yes","1669","óleo, lienzo","pintura del Siglo de oro neerlandés","fallback","Museo del Louvre","344",""
"col-3-et-in-arcadia-ego","col-3","Et in Arcadia ego","Nicolas Poussin","common","yes","1638","óleo, lienzo","clasicismo","fallback","Museo del Louvre","464",""
"col-3-el-triunfo-de-neptuno","col-3","El triunfo de Neptuno","Nicolas Poussin","common","yes","","","","fallback","","0",""
"col-3-susana-y-los-viejos","col-3","Susana y los viejos","Artemisia Gentileschi","common","yes","1610","óleo, lienzo","","fallback","Palacio de Weissenstein","583",""
"col-3-jael-y-sisara","col-3","Jael y Sísara","Artemisia Gentileschi","common","yes","1620","óleo, lienzo","","fallback","Museo de Bellas Artes de Budapest","151",""
"col-3-magdalena-penitente","col-3","Magdalena penitente","Georges de La Tour","common","yes","1640","óleo, lienzo","","fallback","Museo de Arte del Condado de Los Ángeles","344",""
"col-3-san-jose-carpintero","col-3","San José carpintero","Georges de La Tour","common","yes","1642","óleo, lienzo","","fallback","Museo del Louvre","716",""
"col-3-agnus-dei-p1","col-3","Agnus Dei","Francisco de Zurbarán","common","yes","1635","óleo, lienzo","","fallback","Museo del Prado","897",""
"col-3-agnus-dei-p2","col-3","Agnus Dei","Francisco de Zurbarán","common","yes","1635","óleo, lienzo","","fallback","Museo del Prado","897",""
"col-4-la-joven-de-la-perla","col-4","La joven de la perla","Johannes Vermeer","legendary","yes","1665","óleo, lienzo","pintura del Siglo de oro neerlandés","Países Bajos","","599",""
"col-4-el-caminante-sobre-el-mar-de-nubes","col-4","El caminante sobre el mar de nubes","Caspar David Friedrich","unique","yes","1818","óleo, lienzo","","fallback","Kunsthalle de Hamburgo","893",""
"col-4-american-gothic","col-4","American Gothic","Grant Wood","legendary","yes","1930","óleo, beaverboard","regionalismo","fallback","Instituto de Arte de Chicago","896",""
